date,vw_ret_d,vw_ret_x,ew_ret_d,ew_ret_x
6/22/17,-0.000292,-0.000303,0.000418,0.000394
6/23/17,0.001557,0.001557,0.002642,0.002642
6/26/17,0.000369,0.000359,0.002978,0.002967
6/27/17,-0.008077,-0.008077,-0.006832,-0.006832
6/28/17,0.008989,0.00879,0.008243,0.007953
6/29/17,-0.008639,-0.008673,-0.007089,-0.007149
6/30/17,0.001448,0.001397,0.002967,0.002925
7/3/17,0.002172,0.002084,0.004668,0.004628
7/5/17,0.001723,0.001185,-0.002062,-0.002774
7/6/17,-0.008985,-0.009336,-0.0111,-0.011252
7/7/17,0.006416,0.006404,0.006468,0.006451
7/10/17,0.000841,0.000841,0.000076,0.000076
7/11/17,-0.000699,-0.000721,-0.000944,-0.000985
7/12/17,0.007441,0.007359,0.007299,0.007215
7/13/17,0.001951,0.001925,0.00272,0.002694
7/14/17,0.00478,0.004764,0.004853,0.004841
7/17/17,-0.000049,-0.00009,0.001259,0.001239
7/18/17,0.00062,0.000599,-0.002245,-0.002259
7/19/17,0.005406,0.005318,0.007132,0.007094
7/20/17,-0.000002,-0.000067,-0.000909,-0.000961
7/21/17,-0.000323,-0.000323,0.000663,0.000663
7/24/17,-0.00093,-0.00095,-0.001829,-0.001855
7/25/17,0.002977,0.002977,0.004517,0.004517
7/26/17,0.000367,0.000366,-0.001791,-0.001801
7/27/17,-0.000869,-0.000979,-0.000695,-0.000808
7/28/17,-0.001417,-0.001454,-0.000984,-0.001075
7/31/17,-0.000852,-0.000857,-0.000802,-0.000813
8/1/17,0.002376,0.002373,0.001005,0.000983
8/2/17,0.000468,0.000275,-0.002997,-0.003071
8/3/17,-0.002013,-0.002195,-0.002493,-0.002673
8/4/17,0.001812,0.001795,0.001578,0.001548
8/7/17,0.001737,0.00171,0.000956,0.000909
8/8/17,-0.002294,-0.002416,-0.002846,-0.002957
8/9/17,-0.000307,-0.000459,-0.001549,-0.001644
8/10/17,-0.014158,-0.014502,-0.014607,-0.014702
8/11/17,0.001418,0.001351,0.000695,0.000583
8/14/17,0.010084,0.010031,0.009209,0.009091
8/15/17,-0.000278,-0.000499,-0.002396,-0.002497
8/16/17,0.001705,0.001402,0.002653,0.002431
8/17/17,-0.015426,-0.015471,-0.015211,-0.015298
8/18/17,-0.001856,-0.00188,-0.002193,-0.002225
8/21/17,0.001212,0.001183,0.000564,0.00051
8/22/17,0.00994,0.009903,0.009409,0.009343
8/23/17,-0.003371,-0.003459,-0.002901,-0.003019
8/24/17,-0.002188,-0.002209,-0.001363,-0.001411
8/25/17,0.001694,0.001584,0.00346,0.00343
8/28/17,0.000432,0.000392,-0.001074,-0.001098
8/29/17,0.001036,0.000898,-0.0009,-0.001032
8/30/17,0.004883,0.004625,0.004679,0.004407
8/31/17,0.00567,0.005572,0.005691,0.005448
9/1/17,0.002032,0.001966,0.003977,0.003881
9/5/17,-0.007371,-0.007371,-0.007119,-0.007119
9/6/17,0.003125,0.003118,0.00361,0.003582
9/7/17,0.000169,-0.000056,-0.000767,-0.001052
9/8/17,-0.001551,-0.001592,0.00078,0.000717
9/11/17,0.010761,0.010746,0.010537,0.010499
9/12/17,0.003469,0.003409,0.003996,0.003857
9/13/17,0.000841,0.000824,0.000477,0.000428
9/14/17,-0.000843,-0.001165,-0.000355,-0.0007
9/15/17,0.001692,0.001568,0.002149,0.00206
9/18/17,0.001354,0.001317,0.001055,0.001008
9/19/17,0.001015,0.001005,-0.001292,-0.00134
9/20/17,0.000675,0.000674,0.001545,0.001541
9/21/17,-0.00302,-0.003051,-0.00209,-0.002171
9/22/17,0.000616,0.000595,0.002164,0.002127
9/25/17,-0.002247,-0.002247,0.001245,0.001245
9/26/17,0.000224,0.000149,0.000748,0.000729
9/27/17,0.004093,0.004093,0.003785,0.003785
9/28/17,0.001397,0.001188,0.000837,0.00056
9/29/17,0.00366,0.003634,0.003589,0.003529
10/2/17,0.003852,0.003847,0.004074,0.00406
10/3/17,0.002259,0.002217,0.001655,0.001604
10/4/17,0.001291,0.001227,0.002699,0.002682
10/5/17,0.00588,0.005706,0.003483,0.003405
10/6/17,-0.000768,-0.001071,-0.001909,-0.002067
10/9/17,-0.001758,-0.001758,-0.003568,-0.003568
10/10/17,0.002565,0.00253,0.002423,0.002415
10/11/17,0.001959,0.001941,0.000251,0.000236
10/12/17,-0.001502,-0.00159,0.000111,-0.000006
10/13/17,0.000898,0.000884,0.001077,0.001066
10/16/17,0.001685,0.001665,0.000264,0.000249
10/17/17,0.000645,0.000645,-0.000048,-0.00005
10/18/17,0.000807,0.00077,0.000877,0.000857
10/19/17,0.000345,0.000265,0.001611,0.001585
10/20/17,0.005192,0.005123,0.006695,0.006625
10/23/17,-0.003903,-0.003925,-0.003877,-0.00389
10/24/17,0.001649,0.001626,0.000926,0.00089
10/25/17,-0.004605,-0.004605,-0.006646,-0.006646
10/26/17,0.001247,0.001247,0.002114,0.002104
10/27/17,0.008374,0.008372,0.001068,0.00106
10/30/17,-0.003219,-0.003299,-0.004349,-0.004439
10/31/17,0.001062,0.001029,0.001319,0.001203
11/1/17,0.001601,0.0016,0.000015,0.000009
11/2/17,0.000333,0.000223,-0.000875,-0.000936
11/3/17,0.003278,0.003182,0.001309,0.001178
11/6/17,0.001301,0.00122,0.004136,0.004072
11/7/17,-0.000092,-0.000097,-0.001432,-0.001441
11/8/17,0.001637,0.001617,0.001507,0.001464
11/9/17,-0.003541,-0.003784,-0.00201,-0.002192
11/10/17,-0.000429,-0.000778,0.000468,0.000354
11/13/17,0.001019,0.001,0.001836,0.001778
11/14/17,-0.002001,-0.002156,-0.000628,-0.000833
11/15/17,-0.005351,-0.005571,-0.005077,-0.005201
11/16/17,0.009226,0.008888,0.008698,0.008471
11/17/17,-0.002675,-0.002711,0.002091,0.002042
11/20/17,0.001258,0.001225,0.001181,0.001108
11/21/17,0.006422,0.006405,0.003553,0.003521
11/22/17,-0.000617,-0.000706,-0.000112,-0.000214
11/24/17,0.002211,0.002177,0.000683,0.000555
11/27/17,-0.00027,-0.000377,-0.000981,-0.001009
